MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Images,image,Image,Gender,mp_note,Email,Contact,attendance,Start of Term
Tajuddin,Info Not Available,Rajmahal,Male,Jharkhand Mukti Morcha,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,19,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Tajuddin.jpg,,,,,,
Naresh Prasad Singh,Info Not Available,Bishrampur,Male,Rashtriya Janata Dal,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,32,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Naresh Prasad Singh.jpg,,,,,,
Hemlal Murmu,Info Not Available,Litipara,Male,Jharkhand Mukti Morcha,Elected,Graduate,2024-11-23,In Office,,,48,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Hemlal Murmu.jpg,,,,,,
Sukhram Oraon,Info Not Available,Chakradharpur,Male,Jharkhand Mukti Morcha,Elected,Post Graduate,2024-11-23,In Office,,,10,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Sukhram Oraon.jpg,,,,,,
Purnima Sahu,Info Not Available,Jamshedpur East,Female,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,16,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Purnima Sahu.jpg,,,,,,
Mangal Kalindi,Info Not Available,Jugsalai,Male,Jharkhand Mukti Morcha,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,1,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Mangal Kalindi.jpg,,,,,,
Uday Shankar Singh,Info Not Available,Sarath,Male,Jharkhand Mukti Morcha,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,16,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Uday Shankar Singh.jpg,,,,,,
Samir Kumar Mohanty,Info Not Available,Baharagora,Male,Jharkhand Mukti Morcha,Elected,Graduate,2024-11-23,In Office,,,15,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Samir Kumar Mohanty.jpg,,,,,,
Rajesh Kachhap,Info Not Available,Khijri,Male,Indian National Congress,Elected,Graduate,2024-11-23,In Office,,,47,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Rajesh Kachhap.jpg,,,,,,
Kumar Ujjwal,Info Not Available,Simaria,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,24,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Kumar Ujjwal.jpg,,,,,,
Jairam Kumar Mahato,Info Not Available,Dumri,Male,Jharkhand Loktantrik Krantikari Morcha,Elected,Post Graduate,2024-11-23,In Office,,,46,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Jairam Kumar Mahato.jpg,,,,,,
Roshan Lal Choudhary,Info Not Available,Barkagaon,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,34,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Roshan Lal Choudhary.jpg,,,,,,
Uma Kant Rajak,Info Not Available,Chandankiyari,Male,Jharkhand Mukti Morcha,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,5,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Uma Kant Rajak.jpg,,,,,,
Chandradeo Mahato,Info Not Available,Sindri,Male,Communist Party Of India (Marxist-Leninist) (Liberation),Elected,Post Graduate,2024-11-23,In Office,,,34,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Chandradeo Mahato.jpg,,,,,,
Sabita Mahato,Info Not Available,Ichagarh,Female,Jharkhand Mukti Morcha,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,6,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Sabita Mahato.jpg,,,,,,
Kushwaha Shashi Bhushan Mehta,Info Not Available,Panki,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-11-23,In Office,,,49,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Kushwaha Shashi Bhushan Mehta.jpg,,,,,,
Chandreshwar Prasad Singh,Info Not Available,Ranchi,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,10,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Chandreshwar Prasad Singh.jpg,,,,,,
Nisat Alam,Info Not Available,Pakaur,Female,Indian National Congress,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,6,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Nisat Alam.jpg,,,,,,
Sanjib Sardar,Info Not Available,Potka,Male,Jharkhand Mukti Morcha,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,6,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Sanjib Sardar.jpg,,,,,,
Suresh Paswan,Info Not Available,Deoghar,Male,Rashtriya Janata Dal,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,17,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Suresh Paswan.jpg,,,,,,
Dhananjay Soren,Info Not Available,Borio,Male,Jharkhand Mukti Morcha,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,24,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Dhananjay Soren.jpg,,,,,,
Jagat Majhi,Info Not Available,Manoharpur,Male,Jharkhand Mukti Morcha,Elected,Graduate,2024-11-23,In Office,,,22,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Jagat Majhi.jpg,,,,,,
Jiga Susaran Horo,Info Not Available,Sisai,Male,Jharkhand Mukti Morcha,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,13,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Jiga Susaran Horo.jpg,,,,,,
Bhushan Bara,Info Not Available,Simdega,Male,Indian National Congress,Elected,Graduate,2024-11-23,In Office,,,16,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Bhushan Bara.jpg,,,,,,
Ramchandra Singh,Info Not Available,Manika,Male,Indian National Congress,Elected,Graduate,2024-11-23,In Office,,,44,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Ramchandra Singh.jpg,,,,,,
Shwettaa Singh,Info Not Available,Bokaro,Female,Indian National Congress,Elected,Graduate,2024-11-23,In Office,,,13,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Shwettaa Singh.jpg,,,,,,
Devendra Kunwar,Info Not Available,Jarmundi,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,22,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Devendra Kunwar.jpg,,,,,,
Janardhan Paswan,Info Not Available,Chatra,Male,Lok Janshakti Party (Ram Vilas),Elected,Graduate,2024-11-23,In Office,,,40,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Janardhan Paswan.jpg,,,,,,
Anant Pratap Deo,Info Not Available,Bhawanathpur,Male,Jharkhand Mukti Morcha,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,43,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Anant Pratap Deo.jpg,,,,,,
Mathura Prasad Mahato,Info Not Available,Tundi,Male,Jharkhand Mukti Morcha,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,16,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Mathura Prasad Mahato.jpg,,,,,,
Shatrughan Mahto,Info Not Available,Baghmara,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,33,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Shatrughan Mahto.jpg,,,,,,
Champai Soren,69,Seraikella,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,0,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Champai Soren.jpg,,,,,,
Basant Soren,Info Not Available,Dumka,Male,Jharkhand Mukti Morcha,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,0,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Basant Soren.jpg,,,,,,
Kumar Jaimangal (Anup Singh),Info Not Available,Bermo,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,0,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Kumar Jaimangal (Anup Singh).jpg,,,,,,
Ram Surya Munda,Info Not Available,Khunti,Male,Jharkhand Mukti Morcha,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,0,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Ram Surya Munda.jpg,,,,,,
Rameshwar Oraon,Info Not Available,Lohardaga,Male,Indian National Congress,Elected,Post Graduate,2024-11-23,In Office,,,0,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Rameshwar Oraon.jpg,,,,,,
Somesh Chandra Soren,Info Not Available,Ghatsila,Male,Jharkhand Mukti Morcha,Elected,Graduate,2025-11-14,In Office,,,0,3.955882353,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,,,,,,,
Pradip Prasad,Info Not Available,Hazaribagh,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,0,23.62093942,,, Data corresponds to the period from 23-11-2024 to 11-12-2025. ,6,Jharkhand,,,Pradip Prasad.jpg,,,,,,
M. Y. Patil,82,Afzalpur,Male,Indian National Congress,Elected,Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,M. Y. Patil.jpg,,,,,,2023-05-20
Bhojaraj,73,Aland,Male,Indian National Congress,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Bhojaraj.jpg,,,,,,2023-05-20
B. Shivanna,56,Anekal,Male,Indian National Congress,Elected,Professional Post Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,B. Shivanna.jpg,,,,,,2023-05-20
Balachandra Laxmanrao Jarkiholi,56,Arabhavi,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Balachandra Laxmanrao Jarkiholi.jpg,,,,,,2023-05-20
A. Manju,66,Arkalgud,Male,Janata Dal (Secular),Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,A. Manju.jpg,,,,,,2023-05-20
K.M. Shivalinge Gowda,65,Arsikere,Male,Indian National Congress,Elected,Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,K.M. Shivalinge Gowda.jpg,,,,,,2023-05-20
Laxman Sangappa Savadi,64,Athani,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Laxman Sangappa Savadi.jpg,,,,,,2023-05-20
Prabhu B Chavan,53,Aurad,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Prabhu B Chavan.jpg,,,,,,2023-05-20
Ramalinga Reddy,70,B.T.M Layout,Male,Indian National Congress,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Ramalinga Reddy.jpg,,,,,,2023-05-20
M B Patil,58,Babaleshwar,Male,Indian National Congress,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,M B Patil.jpg,,,,,,2023-05-20
B. B. Chimmanakatti,39,Badami,Male,Indian National Congress,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,B. B. Chimmanakatti.jpg,,,,,,2023-05-20
Meti Hullappa Yamanappa,77,Bagalkot,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,2025-11-04,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Meti Hullappa Yamanappa.jpg,,,,,,2023-05-20
Umesh Hullappa Meti,Info not available,Bagalkot,Male,Indian National Congress,Elected,Information not available,,In Office,,,,,,,,16,Karnataka,,,Umesh Hullappa Meti.jpg,,,,,,2026-05-04
S. N. Subbareddy,56,Bagepalli,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,S. N. Subbareddy.jpg,,,,,,2023-05-20
Koujalagi Mahantesh Shivanand,52,Bailhongal,Male,Indian National Congress,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Koujalagi Mahantesh Shivanand.jpg,,,,,,2023-05-20
M Krishnappa,61,Bangalore South,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,M Krishnappa.jpg,,,,,,2023-05-20
S. N. Narayanaswamy. K. M,55,Bangarapet,Male,Indian National Congress,Elected,Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,S. N. Narayanaswamy. K. M.jpg,,,,,,2023-05-20
Rajesh Naik U,64,Bantval,Male,Bharatiya Janata Party,Elected,Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Rajesh Naik U.jpg,,,,,,2023-05-20
Sharanu Salagar,47,Basavakalyan,Male,Bharatiya Janata Party,Elected,Professional Post Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Sharanu Salagar.jpg,,,,,,2023-05-20
Shivanand Patil,61,Basavana Bagevadi,Male,Indian National Congress,Elected,Diploma Course,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Shivanand Patil.jpg,,,,,,2023-05-20
Ravi Subramanya L. A.,65,Basavanagudi,Male,Bharatiya Janata Party,Elected,Post Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Ravi Subramanya L. A..jpg,,,,,,2023-05-20
Abhay Patil,54,Belgaum Dakshin,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Abhay Patil.jpg,,,,,,2023-05-20
Laxmi R. Hebbalkar,48,Belgaum Rural,Female,Indian National Congress,Elected,Post Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Laxmi R. Hebbalkar.jpg,,,,,,2023-05-20
Asif (Raju) Sait,64,Belgaum Uttar,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Asif (Raju) Sait.jpg,,,,,,2023-05-20
B Nagendra,52,Bellary,Male,Indian National Congress,Elected,Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,B Nagendra.jpg,,,,,,2023-05-20
Nara Bharath Reddy,33,Bellary City,Male,Indian National Congress,Elected,Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Nara Bharath Reddy.jpg,,,,,,2023-05-20
Harish Poonja,41,Belthangady,Male,Bharatiya Janata Party,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Harish Poonja.jpg,,,,,,2023-05-20
H. K. Suresh,52,Belur,Male,Bharatiya Janata Party,Elected,Diploma Course,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,H. K. Suresh.jpg,,,,,,2023-05-20
B. K. Sanagameshwara,60,Bhadravati,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,B. K. Sanagameshwara.jpg,,,,,,2023-05-20
Eshwar Khandre,61,Bhalki,Male,Indian National Congress,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Eshwar Khandre.jpg,,,,,,2023-05-20
Mankal Vaidya,51,Bhatkal,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Mankal Vaidya.jpg,,,,,,2023-05-20
Rahim Khan,57,Bidar,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Rahim Khan.jpg,,,,,,2023-05-20
Shailendra Beldale,49,Bidar South,Male,Bharatiya Janata Party,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Shailendra Beldale.jpg,,,,,,2023-05-20
Basanagouda R Patil,60,Bijapur City,Male,Bharatiya Janata Party,Elected,Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Basanagouda R Patil.jpg,,,,,,2023-05-20
J. T. Patil,73,Bilgi,Male,Indian National Congress,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,J. T. Patil.jpg,,,,,,2023-05-20
Sathish Reddy M,51,Bommanahalli,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Sathish Reddy M.jpg,,,,,,2023-05-20
Basavaraj Neelappa Shivannanavar,68,Byadgi,Male,Indian National Congress,Elected,Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Basavaraj Neelappa Shivannanavar.jpg,,,,,,2023-05-20
Krishna Byregowda,50,Byatarayanapura,Male,Indian National Congress,Elected,Professional Post Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Krishna Byregowda.jpg,,,,,,2023-05-20
Gururaj Shetty Gantihole,42,Byndoor,Male,Bharatiya Janata Party,Elected,Diploma Course,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Gururaj Shetty Gantihole.jpg,,,,,,2023-05-20
S. Raghu,52,C.V. Raman Nagar,Male,Bharatiya Janata Party,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,S. Raghu.jpg,,,,,,2023-05-20
T. Raghumurthy,59,Challakere,Male,Indian National Congress,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,T. Raghumurthy.jpg,,,,,,2023-05-20
K. Harish Gowda,50,Chamaraja,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,K. Harish Gowda.jpg,,,,,,2023-05-20
C. Puttarangashetty,68,Chamarajanagar,Male,Indian National Congress,Elected,Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,C. Puttarangashetty.jpg,,,,,,2023-05-20
B. Z. Zameer Ahmed Khan,55,Chamrajpet,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,B. Z. Zameer Ahmed Khan.jpg,,,,,,2023-05-20
G. T. Devegowda,73,Chamundeshwari,Male,Janata Dal (Secular),Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,G. T. Devegowda.jpg,,,,,,2023-05-20
Basavaraju V Shivaganga,42,Channagiri,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Basavaraju V Shivaganga.jpg,,,,,,2023-05-20
H. D. Kumaraswamy,64,Channapatna,Male,Janata Dal (Secular),Elected,Professional Graduate,,2024-06-03,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,H. D. Kumaraswamy.jpg,,,,,,2023-05-20
C P Yogeeshwara,61,Channapatna,Male,Indian National Congress,Elected,Graduate,,In Office,,,,,,,Member's age is taken from election affidavit 2024 data,16,Karnataka,,,C P Yogeeshwara.jpg,,,,,,2024-11-13
Uday B. Garudachar,63,Chickpet,Male,Bharatiya Janata Party,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Uday B. Garudachar.jpg,,,,,,2023-05-20
Pradeep Eshwar,38,Chikkaballapur,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Pradeep Eshwar.jpg,,,,,,2023-05-20
C B Suresh Baabu,52,Chikkanayakanahalli,Male,Janata Dal (Secular),Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,C B Suresh Baabu.jpg,,,,,,2023-05-20
Ganesh Prakash Hukkeri,45,Chikkodi-Sadalga,Male,Indian National Congress,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Ganesh Prakash Hukkeri.jpg,,,,,,2023-05-20
H. D. Thammaiah,55,Chikmagalur,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,H. D. Thammaiah.jpg,,,,,,2023-05-20
Avinash Umesh Jadhav,34,Chincholi,Male,Bharatiya Janata Party,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Avinash Umesh Jadhav.jpg,,,,,,2023-05-20
M.C. Sudhakar,54,Chintamani,Male,Indian National Congress,Elected,Professional Post Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,M.C. Sudhakar.jpg,,,,,,2023-05-20
K. C. Veerendra Puppy,48,Chitradurga,Male,Indian National Congress,Elected,Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,K. C. Veerendra Puppy.jpg,,,,,,2023-05-20
Priyank Kharge,44,Chittapur,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Priyank Kharge.jpg,,,,,,2023-05-20
S. Muniraju,64,Dasarahalli,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,S. Muniraju.jpg,,,,,,2023-05-20
S. S. Mallikarjun,55,Davanagere North,Male,Indian National Congress,Elected,Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,S. S. Mallikarjun.jpg,,,,,,2023-05-20
Shamanur Shivashankarappa,91,Davanagere South,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,2025-12-14,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Shamanur Shivashankarappa.jpg,,,,,,2023-05-20
Samarth Shamanur Mallikarjuna,Info not available,Davanagere South,Male,Indian National Congress,Elected,Information not available,,In Office,,,,,,,,16,Karnataka,,,Samarth Shamanur Mallikarjuna.jpg,,,,,,2026-05-04
Karemma,50,Devadurga,Female,Janata Dal (Secular),Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Karemma.jpg,,,,,,2023-05-20
K. H. Muniyappa,75,Devanahalli,Male,Indian National Congress,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,K. H. Muniyappa.jpg,,,,,,2023-05-20
Bhimanagouda (Rajugouda) Basanagouda Patil,51,Devar Hippargi,Male,Janata Dal (Secular),Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Bhimanagouda (Rajugouda) Basanagouda Patil.jpg,,,,,,2023-05-20
Vinay Kulkarni,56,Dharwad,Male,Indian National Congress,Elected,Inter/ Higher Secondary,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Vinay Kulkarni.jpg,,,,,,2023-05-20
Dheeraj Muniraj,31,Doddaballapur,Male,Bharatiya Janata Party,Elected,Professional Post Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,Dheeraj Muniraj.jpg,,,,,,2023-05-20
H. K. Patil,70,Gadag,Male,Indian National Congress,Elected,Professional Graduate,,In Office,,,,,,,"Member's age is taken from election affidavit 2023 data (Updated as on : March 31, 2023)",16,Karnataka,,,H. K. Patil.jpg,,,,,,2023-05-20
