MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Images,image,Image,Gender,mp_note,Email,Contact,attendance,Start of Term
Surya Naga Sanyasi Raju Kalidindi,57,Chodavaram,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Surya Naga Sanyasi Raju Kalidindi.jpg,,,,,,,,
Buchepalli Siva Prasad Reddy,44,Darsi,Male,Yuvajana Sramika Rythu Congress Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Buchepalli Siva Prasad Reddy.jpg,,,,,,,,
Chintamaneni Prabhakar,55,Denduluru,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Chintamaneni Prabhakar.jpg,,,,,,,,
Satya Kumar Yadav,52,Dharmavaram,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Satya Kumar Yadav.jpg,,,,,,,,
Kotla Jaya Surya Prakash Reddy,72,Dhone,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Kotla Jaya Surya Prakash Reddy.jpg,,,,,,,,
Radha Krishnayya Badeti,58,Eluru,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Radha Krishnayya Badeti.jpg,,,,,,,,
Eswara Rao Nadukuditi,53,Etcherla,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Eswara Rao Nadukuditi.jpg,,,,,,,,
Kondapalli Srinivas,41,Gajapathinagaram,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Kondapalli Srinivas.jpg,,,,,,,,
Palla Srinivas Rao,54,Gajuwaka,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Palla Srinivas Rao.jpg,,,,,,,,
Dr. Vm. Thomas,50,Gangadhara Nellore (Sc),Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Dr. Vm. Thomas.jpg,,,,,,,,
Yarlagadda Venkata Rao,49,Gannavaram,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Yarlagadda Venkata Rao.jpg,,,,,,,,
Giddi. Satyanarayana,59,Gannavaram(Sc),Male,Janasena Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Giddi. Satyanarayana.jpg,,,,,,,,
Ashok Reddy Muthumula,55,Giddalur,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Ashok Reddy Muthumula.jpg,,,,,,,,
Maddipati Venkata Raju,43,Gopalapuram,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Maddipati Venkata Raju.jpg,,,,,,,,
Venigandla Ramu,54,Gudivada,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Venigandla Ramu.jpg,,,,,,,,
Pasim Sunil Kumar,55,Gudur,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Pasim Sunil Kumar.jpg,,,,,,,,
Gummanur Jayaram,56,Guntakal,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Gummanur Jayaram.jpg,,,,,,,,
Mohammed Naseer Ahmed,44,Guntur East,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Mohammed Naseer Ahmed.jpg,,,,,,,,
Galla Madhavi,40,Guntur West,Female,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Galla Madhavi.jpg,,,,,,,,
Yarapathineni Srinivasa Rao,59,Gurajala,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Yarapathineni Srinivasa Rao.jpg,,,,,,,,
Nandamuri Balakrishna,63,Hindupur,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Nandamuri Balakrishna.jpg,,,,,,,,
Ashok Bendalam,42,Ichchapuram,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Ashok Bendalam.jpg,,,,,,,,
Jyothula Nehru,73,Jaggampeta,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Jyothula Nehru.jpg,,,,,,,,
Rajagopal Sreeram (Tataiah),59,Jaggayyapeta,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Rajagopal Sreeram (Tataiah).jpg,,,,,,,,
Adinarayana Reddy Chadipirala,66,Jammalamadugu,Male,Bharatiya Janata Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Adinarayana Reddy Chadipirala.jpg,,,,,,,,
Madhavi Reddappa Gari,49,Kadapa,Female,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Madhavi Reddappa Gari.jpg,,,,,,,,
Kandikunta Venkata Prasad,57,Kadiri,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Kandikunta Venkata Prasad.jpg,,,,,,,,
Kamineni Srinivas,76,Kaikalur,Male,Bharatiya Janata Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Kamineni Srinivas.jpg,,,,,,,,
Vanamadi Venkateswara Rao @ Kondababu,59,Kakinada City,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Vanamadi Venkateswara Rao @ Kondababu.jpg,,,,,,,,
Pantam Venkateswara Rao (Pantam Nanaji),61,Kakinada Rural,Male,Janasena Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Pantam Venkateswara Rao (Pantam Nanaji).jpg,,,,,,,,
Amilineni Surendra Babu,54,Kalyandurg,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Amilineni Surendra Babu.jpg,,,,,,,,
Krishna Chaitanya Reddy Putha,42,Kamalapuram,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Krishna Chaitanya Reddy Putha.jpg,,,,,,,,
